Station Code,Station Name,Planning Area,Region,NS,EW,CG,NE,BP LRT,Sengkang LRT,Punggol LRT,CC,DT,TE,LRT/MRT,No of lines,No of lines opened,Line 1,Line 2,Line 3,Opening 1,Opening 2,Opening 3,Bus Interchange,Bus Terminal,Others,Connections to Other,Connection to other transport means
BP2,South View,Bukit Panjang,WEST,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,LRT,1,1,BP LRT,NA,NA,6/11/1999,NA,NA,FALSE,FALSE,FALSE,0,
TE4,Springleaf,Yishun,NORTH,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,MRT,1,0,TE,NA,NA,TBA,NA,NA,FALSE,FALSE,FALSE,0,
CC6,Stadium,Kallang,CENTRAL,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,MRT,1,1,CC,NA,NA,17/4/2010,NA,NA,FALSE,FALSE,FALSE,0,
DT10 TE11,Stevens,Tanglin,CENTRAL,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,MRT,2,1,DT,TE,NA,27/12/2015,TBA,NA,FALSE,FALSE,FALSE,0,
PW6,Sumang,Punggol,NORTH-EAST,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,LRT,1,1,Punggol LRT,NA,NA,29/6/2014,NA,NA,FALSE,FALSE,FALSE,0,
DT37 TE31,Sungei Bedok,Bedok,EAST,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,MRT,2,0,DT,TE,NA,TBA,TBA,NA,FALSE,FALSE,FALSE,0,
CC11,Tai Seng,Hougang,NORTH-EAST,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,MRT,1,1,CC,NA,NA,17/4/2010,NA,NA,FALSE,FALSE,FALSE,0,
EW2 DT32,Tampines,Tampines,EAST,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,MRT,2,2,EW,DT,NA,16/12/1989,21/10/2017,NA,TRUE,FALSE,FALSE,2," Tampines Bus Interchange, Tampines Concourse Bus Interchange"
DT33,Tampines East,Tampines,EAST,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,MRT,1,1,DT,NA,NA,21/10/2017,NA,NA,FALSE,FALSE,FALSE,0,
DT31,Tampines West,Tampines,EAST,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,MRT,1,1,DT,NA,NA,21/10/2017,NA,NA,FALSE,FALSE,FALSE,0,
DT8,Tan Kah Kee,Bukit Timah,CENTRAL,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,MRT,1,1,DT,NA,NA,27/12/2015,NA,NA,FALSE,FALSE,FALSE,0,
EW4 CG,Tanah Merah,Bedok,EAST,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,MRT,2,1,EW,CG,NA,4/11/1989,NA,NA,FALSE,FALSE,FALSE,0,
TE25,Tanjong Katong,Marine Parade,CENTRAL,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,MRT,1,0,TE,NA,NA,TBA,NA,NA,FALSE,FALSE,FALSE,0,
EW15,Tanjong Pagar,Downtown Core,CENTRAL,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,MRT,1,1,EW,NA,NA,12/12/1987,NA,NA,FALSE,FALSE,FALSE,0,
TE23,Tanjong Rhu,Kallang,CENTRAL,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,MRT,1,0,TE,NA,NA,TBA,NA,NA,FALSE,FALSE,FALSE,0,
PW2,Teck Lee,Punggol,NORTH-EAST,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,LRT,1,0,Punggol LRT,NA,NA,TBA,NA,NA,FALSE,FALSE,FALSE,0,
BP4,Teck Whye,Bukit Panjang,WEST,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,LRT,1,1,BP LRT,NA,NA,6/11/1999,NA,NA,FALSE,FALSE,FALSE,0,
