HDB Address,Vincenty Distance in km,MRT Station Code,Walking Distance in Meters ,Walking Duration in Minutes,Station Name,NS,EW,CG,NE,BP LRT,Sengkang LRT,Punggol LRT,CC,DT,TE,LRT/MRT,No of lines,No of lines opened,Line 1,Line 2,Line 3,Opening 1,Opening 2,Opening 3,Bus Interchange,Bus Terminal,Others,Connections to Other,n_bus_station_1_km,n_subway_station_1_km,n_cafe_1_km,n_restaurant_1_km,n_school_1_km,n_shopping_mall_1_km,n_supermarket_1_km,n_park_1_km,n_bus_station_0.5_km,n_subway_station_0.5_km,n_cafe_0.5_km,n_restaurant_0.5_km,n_school_0.5_km,n_shopping_mall_0.5_km,n_supermarket_0.5_km,n_park_0.5_km
Blk+605+HOUGANG+AVE+4+Singapore,0.6707898970747694,NE14,845,10.5,Hougang,False,False,False,True,False,False,False,False,False,False,MRT,1,1,NE,,,20/6/2003,,,True,False,False,1,60,1,38,60,60,7,20,9,23,0,6,33,17,0,7,5
Blk+834+HOUGANG+CTRL+Singapore,0.3153231864225636,NE14,368,4.283333333,Hougang,False,False,False,True,False,False,False,False,False,False,MRT,1,1,NE,,,20/6/2003,,,True,False,False,1,60,1,40,60,57,3,24,9,22,1,6,22,12,0,3,2
Blk+415+JURONG+WEST+ST+42+Singapore,1.0450335904029755,EW26,1544,19.65,Lakeside,False,True,False,False,False,False,False,False,False,False,MRT,1,1,EW,,,5/11/1988,,,False,False,False,0,39,0,56,60,49,0,20,3,10,0,27,37,19,0,13,0
Blk+666A+JURONG+WEST+ST+65+Singapore,0.4957811276513353,EW27,671,8.416666667000001,Boon Lay,False,True,False,False,False,False,False,False,False,False,MRT,1,1,EW,,,6/7/1990,,,True,False,False,1,60,2,30,60,55,13,13,4,18,1,9,47,21,3,3,1
Blk+828A+JURONG+WEST+ST+81+Singapore,0.9667222487684292,EW28,1228,15.71666667,Pioneer,False,True,False,False,False,False,False,False,False,False,MRT,1,1,EW,,,28/2/2009,,,False,False,False,0,59,1,23,37,50,4,15,6,16,0,12,14,17,0,5,1
Blk+113+WHAMPOA+RD+Singapore,0.8407158620027181,DT23,1522,18.73333333,Bendemeer,False,False,False,False,False,False,False,False,True,False,MRT,1,1,DT,,,21/10/2017,,,False,False,False,0,49,1,25,60,46,5,14,2,11,0,9,58,14,1,7,0
Blk+75+MARINE+DR+Singapore,1.8917193491250164,EW7,2627,33.56666667,Eunos,False,True,False,False,False,False,False,False,False,False,MRT,1,1,EW,,,4/11/1989,,,True,False,False,1,41,0,60,60,60,23,21,8,13,0,41,60,60,15,15,0
Blk+204+PASIR+RIS+ST+21+Singapore,1.6014982971895046,DT33,2282,29.45,Tampines East,False,False,False,False,False,False,False,False,True,False,MRT,1,1,DT,,,21/10/2017,,,False,False,False,0,60,0,9,24,33,1,10,7,21,0,3,11,13,1,3,1
Blk+247+PASIR+RIS+ST+21+Singapore,1.479805191152313,EW1,2071,25.25,Pasir Ris,False,True,False,False,False,False,False,False,False,False,MRT,1,1,EW,,,16/12/1989,,,True,False,False,1,60,0,14,58,40,2,12,9,20,0,2,9,16,1,2,2
Blk+274B+PUNGGOL+PL+Singapore,0.2343330415270029,NE17 PTC,512,6.25,Punggol,False,False,False,True,False,False,True,False,False,False,Both,2,2,NE,Punggol LRT,,20/6/2003,29/1/2005,,True,False,False,1,54,3,22,60,42,4,10,3,17,1,13,60,16,3,2,0
Blk+53+STIRLING+RD+Singapore,0.27589360695595105,EW19,433,5.7,Queenstown,False,True,False,False,False,False,False,False,False,False,MRT,1,1,EW,,,12/3/1988,,,False,False,False,0,48,2,43,60,34,7,10,7,17,1,10,28,13,0,3,1
Blk+221+SIMEI+ST+4+Singapore,0.37568992747301216,EW3,562,7.1333333329999995,Simei,False,True,False,False,False,False,False,False,False,False,MRT,1,1,EW,,,16/12/1989,,,False,False,False,0,48,3,29,60,52,4,9,8,16,1,11,60,19,2,3,1
Blk+390+TAMPINES+AVE+7+Singapore,0.4921578651202233,DT33,563,7.483333332999999,Tampines East,False,False,False,False,False,False,False,False,True,False,MRT,1,1,DT,,,21/10/2017,,,False,False,False,0,56,1,13,60,60,4,21,7,20,1,1,26,17,1,2,1
Blk+311+TAMPINES+ST+33+Singapore,0.5802047058648846,DT33,855,11.13333333,Tampines East,False,False,False,False,False,False,False,False,True,False,MRT,1,1,DT,,,21/10/2017,,,False,False,False,0,51,1,14,60,60,4,20,10,12,1,6,42,35,4,5,2
Blk+141+POTONG+PASIR+AVE+3+Singapore,0.3578529975221405,NE10,604,7.333333333,Potong Pasir,False,False,False,True,False,False,False,False,False,False,MRT,1,1,NE,,,20/6/2003,,,False,False,False,0,39,2,22,55,31,4,3,7,14,1,5,13,14,1,2,2
Blk+138B+LOR+1A+TOA+PAYOH+Singapore,0.4817708749467139,NS18,625,7.933333332999999,Braddell,True,False,False,False,False,False,False,False,False,False,MRT,1,1,NS,,,7/11/1987,,,False,False,False,0,60,3,60,60,60,4,12,11,18,1,30,60,29,0,4,2
Blk+876+WOODLANDS+AVE+9+Singapore,0.9761939880157626,NS9 TE2,1287,15.75,Woodlands,True,False,False,False,False,False,False,False,False,True,MRT,2,1,NS,TE,,10/2/1996,TBA,,True,False,False,1,51,1,32,56,51,5,15,4,11,0,16,6,20,1,2,0
Blk+215+MARSILING+LANE+Singapore,1.6868717729496463,NS8,2063,26.1,Marsiling,True,False,False,False,False,False,False,False,False,False,MRT,1,1,NS,,,10/2/1996,,,False,False,False,0,26,0,15,19,11,0,1,3,7,0,11,3,2,0,0,1
Blk+544+WOODLANDS+DR+16+Singapore,1.1528771270236922,NS9 TE2,1748,22.88333333,Woodlands,True,False,False,False,False,False,False,False,False,True,MRT,2,1,NS,TE,,10/2/1996,TBA,,True,False,False,1,49,0,8,30,36,4,6,2,18,0,2,16,9,1,2,1
Blk+578+WOODLANDS+DR+16+Singapore,1.1324493043104282,NS10,1755,22.05,Admiralty,True,False,False,False,False,False,False,False,False,False,MRT,1,1,NS,,,10/2/1996,,,False,False,False,0,58,0,7,30,40,3,5,3,21,0,1,11,12,2,1,2
Blk+825+WOODLANDS+ST+81+Singapore,0.4091476861870963,NS9 TE2,657,7.983333332999999,Woodlands,True,False,False,False,False,False,False,False,False,True,MRT,2,1,NS,TE,,10/2/1996,TBA,,True,False,False,1,60,1,51,60,60,8,13,4,20,1,25,42,21,2,4,2
